	Tectonic_setting	Location_notes	Pluton	Colour	SubGroup	Group	DebonPQ	TASMiddlemostPlut	Villaseca	QANOR	LaRoche	Geol_unit_notes	Rock_type_notes	Ref	Symbol	Size	Size_rel	Age	Latitude	Longitude	SiO2	TiO2	Al2O3	FeOt	MnO	MgO	CaO	K2O	Na2O	P2O5	H2O	H2Ot	H2O.MINUS	LOI	Li	Be	B	Sc	V	Cr	Ni	Cu	Zn	Rb	Sr	Y	Zr	Nb	Cs	Ba	La	Ce	Pr	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	Pb	Th	U	Co	Mo	W	Ga	Ge	As	In	Sn	Sb	Cd	Ks	Sum_CIPW	Orthoclase	Albite	Anorthite	Quartz	Apatite	Ilmenite	Biotite	Amphibole	Corundum	Rest	sum_meso	P	K	Ti	Cr2O3	A/NK	A/CNK	K2O/Na2O	Q	C	Or	Ab	An	Lc	Ne	Ns	Di	Wo	Hy	Ol	Il	Tn	Pf	Ru	Ap	Sum
BB203	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	diorite	unclassified	unclassified	granodiorite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	1	1.28	1.6				61.08795	1.9111071	15.4072	10.384547	0.173359521	3.5014471	1.4138663	4.343331	1.299677	0.4775172														414.303	38.88491	181.31496	632.64919	57.503189		143.83379	103.91328	216.17414	25.539389	100.33796	22.117669	0.5797674	21.182998	3.7164636	29.041529	6.8251495	24.234526	4.0749683	29.7575502		17.571791			51.326131												0	89.65077526	16.28463753	11.00826419	3.886376236	35.21208883	1.126940592	1.815551745	13.76842966	0	7.145886125	-0.632719692	89.61545522	2084.171571	36055.29363	11457.08706		2.252677259	1.637279679	3.341854168	30.0092288209038	7.14034922735439	25.6678426234288	10.9975044606486	3.89469893724923	0	0	0	0	0	8.7225557549567	0	0.370854523193115	0	0	1.71668085725152	1.13106005799511	89.6507752629813
OLD02	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	diorite	unclassified	3b granite	granodiorite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	1	1.28	1.6				61.45151	1.7132862	16.18593	9.300091	0.17949736	3.1750611	1.3069987	4.895871	1.403734	0.3880153														212.0438	90.50354	26.31448	79.45858	5.459642		407.01644	16.30559	33.01995	3.546534	13.7361	3.04713	1.0237005	3.076547	0.6407949	4.305933	0.8437408	2.911657	0.5075466	3.7655336		2.667854			7.514167												0	90.73058126	20.40755613	11.88962698	3.94229978	32.82968059	0.915716108	1.62762189	12.52470136	0	7.135658543	-0.572957728	90.69990366	1693.531578	40642.09393	10271.15077		2.127268972	1.620990298	3.487748391	28.115922968014	7.12980710549272	28.9331958196622	11.878005786487	3.94925531589347	0	0	0	0	0	7.90948618648105	0	0.383984724191889	0	0	1.51185989983368	0.919063455140444	90.7305812611965
BB01	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	ad	granodiorite	h-P	unclassified	granodiorite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				66.20815	1.7695713	15.62782	6.846932	0.133066613	2.3833947	2.1558938	2.361932	2.10653	0.4067117														233.4319	100.91622	52.75669	387.2809	29.275934		197.73029	52.22324	105.65629	13.162262	52.6002	10.706243	1.0449141	12.090271	1.7379564	9.891546	2.062493	5.987448	0.9329153	6.8513928		9.707605			17.55056												0	93.18458097	7.280087811	17.8423091	8.030410406	41.43721232	0.959839612	1.681092735	9.721038002	0	6.654516412	-0.453436283	93.15307011	1775.133886	19607.10611	10608.57994		2.595080657	1.57189753	1.121242992	37.8972286276025	6.65966421039419	13.9583418494332	17.8248696187515	8.03865915591925	0	0	0	0	0	5.93734320784635	0	0.284659042851403	0	0	1.62046701010443	0.963348250051077	93.1845809729539
BB11	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granodiorite	h-P	3b granite	granodiorite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				68.50674	0.9450154	14.99537	4.642333	0.075135607	1.9249531	1.7164782	4.321885	2.667843	0.2042419														270.2572	95.42299	32.98972	348.13189	27.768184		354.07652	54.82614	113.22841	13.431555	52.50071	9.786516	1.0508652	8.636806	1.1688549	6.893307	1.2411863	3.195927	0.4346702	2.5588345		9.658084			24.446614												0	95.37777927	20.47038686	22.59663021	7.176519304	33.33075336	0.482010884	0.89776463	7.450902378	0	3.292473667	-0.33977909	95.35766221	891.4341967	35877.26395	5665.367323		1.653831636	1.230338533	1.619992256	30.4836720776982	3.29641505726369	25.5411029038675	22.5745437464925	7.18143431833238	0	0	0	0	0	4.79530612940768	0	0.160731752995616	0	0	0.860800435595917	0.483772846839929	95.3777792684935
BB02A	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gd	granodiorite	h-P	unclassified	granodiorite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				68.90272	0.8492849	14.83329	5.63205	0.065566025	2.4075025	2.0673787	2.294811	2.749675	0.1977225														195.0281	79.18398	35.30099	214.72259	18.134691		134.88228	38.96764	73.68496	8.666601	32.57835	7.042247	0.8661732	6.64036	1.0189016	6.410093	1.2804639	3.519909	0.4643871	3.0258223		6.035973			15.955884												0	94.38769059	7.448336488	23.28974725	8.9596696	40.24482147	0.4666251	0.806820655	9.02902206	0	4.53030967	-0.407401668	94.36795063	862.9796235	19049.91455	5091.462976		2.116782416	1.37773337	0.834575359	36.6720254199166	4.54028696172048	13.5616759575803	23.2669833180351	8.96492227894547	0	0	0	0	0	5.9973988430234	0	0.140260291438178	0	0	0.775806696238392	0.46833082099857	94.3876905878966
CR02	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3b granite	granodiorite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				71.62353	0.4899112	14.78217	3.236181	0.037114483	1.2937048	1.3700546	4.653096	2.318065	0.1961766														203.1848	93.87624	26.86912	202.96073	15.941322		550.66855	32.98854	65.13479	7.251148	29.92136	5.971131	0.9063775	5.785251	0.8981269	5.139272	1.1291402	2.261085	0.3657392	2.0505119		5.286819			14.457673												0	96.78307612	24.1924951	19.63401055	5.51106338	37.93327684	0.462976776	0.46541564	4.878748522	0	3.909814362	-0.223978479	96.76382268	856.2323884	38626.74582	2937.017644		1.670273495	1.303401341	2.007319035	36.0284923828528	3.91068167939655	27.498465081226	19.6148198187499	5.51544463090033	0	0	0	0	0	3.22278530167002	0	0.0793961232537322	0	0	0.448321942948051	0.464669160761714	96.783076121759
CB103	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3b granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				69.69844	0.5247099	15.72873	3.16641	0.045034982	1.2211811	1.5186215	5.189496	2.706288	0.2010864														228.5765	104.18413	30.68803	180.6509	16.17629		405.11272	35.51761	69.13623	7.817547	30.86002	6.207132	0.8239126	6.104425	0.9047897	6.347179	1.1498711	2.912385	0.3867652	2.5704266		5.087004			15.65378												0	96.85299406	27.49904032	22.92225936	6.215809762	31.39025301	0.474563904	0.498474405	4.67057627	0	3.377897957	-0.215287106	96.83358788	877.6617014	43079.56314	3145.635851		1.562027063	1.225872471	1.917569749	29.5957098406406	3.37958160494902	30.6684354986791	22.8998546191091	6.22043997301346	0	0	0	0	0	3.04211942303779	0	0.0963398299688456	0	0	0.474214626777629	0.476298644836307	96.8529940610119
CB04	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3b granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				69.76368	0.4698065	16.38619	2.679525	0.035261417	1.1594784	1.3907518	5.536043	2.390517	0.1887523														223.7133	127.47972	25.00343	172.29434	15.410801		867.33149	32.36259	63.42904	7.190036	28.62475	5.943399	1.270207	21.218995	0.9091957	5.39104	0.9019894	2.507479	0.2847565	1.8058615		5.258033			13.868612												0	97.33909531	29.73347372	20.24767899	5.662329869	32.20480502	0.445455428	0.446316175	4.397835684	0	4.38520076	-0.202615219	97.32048042	823.8282886	45956.35376	2816.489968		1.650987891	1.31575915	2.315835026	30.5025612477744	4.38436137423191	32.7164290450198	20.2278884451724	5.66663374894119	0	0	0	0	0	2.88841004928162	0	0.0754320034643416	0	0	0.430295636037691	0.447083764489971	97.3390953144133
LL10	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3b granite	granodiorite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				71.21874	0.5667648	15.32181	2.837142	0.044373049	1.0931906	1.4320393	4.773128	2.510103	0.2027042														256.4843	91.13717	31.98243	200.5743	17.156947		447.95475	42.52136	86.8488	10.027296	36.23599	7.790502	1.0233689	7.399862	1.0649034	6.46045	1.141969	3.205889	0.3699702	2.7887741		5.517143			20.376612												0	97.18249863	25.30916667	21.26057241	5.77576999	35.83689502	0.478381912	0.53842656	4.255553965	0	3.905826854	-0.197740429	97.16285295	884.7227513	39623.16747	3397.754976		1.648215846	1.287571182	1.901566589	34.2318023865122	3.9074010156343	28.2078198335521	21.2397918399629	5.78031701136194	0	0	0	0	0	2.72327860080895	0	0.0949238082488687	0	0	0.517033526158664	0.480130609343187	97.1824986315831
SB01	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3b granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				71.60774	0.5224897	15.149	2.642049	0.04905005	1.1174881	1.3595394	4.725866	2.630575	0.1962002														243.5999	80.88744	30.8447	175.04207	15.904356		289.56183	33.32231	68.21093	7.906742	30.86398	6.237646	0.937598	6.394072	1.0274394	6.535987	1.0091691	3.268832	0.4754518	2.3861067		5.203623			15.946687												0	97.37734267	24.99358808	22.28097025	5.458753475	35.84253873	0.463032472	0.496365215	4.320866928	0	3.701605622	-0.199772325	97.35794845	856.3353929	39230.83143	3132.325752		1.604252718	1.271424277	1.79651445	34.2017710896115	3.70381018969612	27.9285149456519	22.2591923197615	5.46312223269573	0	0	0	0	0	2.78380680312167	0	0.104928952274553	0	0	0.467471075727544	0.464725060355213	97.3773426688957
