	SiO2	TiO2	Al2O3	FeOt	CaO	MgO	MnO	K2O	Na2O	A/NK	A/CNK	Fe#	K2O/Na2O	Na2O+K2O	Q	An	Ab	Or	Group
12	66.20815	1.7695713	15.62782	6.846932	2.1558938	2.3833947	0.133066613	2.361932	2.10653	2.5946526163048853	1.5717575989017023	0.7417865285309999	1.1212429920295464	4.468462	37.8972286276025	8.03865915591925	17.8248696187515	13.9583418494332	1- CPG & MPG
13	68.50674	0.9450154	14.99537	4.642333	1.7164782	1.9249531	0.075135607	4.321885	2.667843	1.6535156657470498	1.2301723611115356	0.7068875832895418	1.619992255916109	6.9897279999999995	30.4836720776982	7.18143431833238	22.5745437464925	25.5411029038675	1- CPG & MPG
14	68.90272	0.8492849	14.83329	5.63205	2.0673787	2.4075025	0.065566025	2.294811	2.749675	2.1164756347078097	1.3776166966887675	0.7005427229935994	0.8345753589060526	5.044486	36.6720254199166	8.96492227894547	23.2669833180351	13.5616759575803	1- CPG & MPG
15	71.62353	0.4899112	14.78217	3.236181	1.3700546	1.2937048	0.037114483	4.653096	2.318065	1.669929025199955	1.3031994769560322	0.7144067517110475	2.007319035488651	6.9711609999999995	36.0284923828528	5.51544463090033	19.6148198187499	27.498465081226	1- CPG & MPG
16	69.69844	0.5247099	15.72873	3.16641	1.5186215	1.2211811	0.045034982	5.189496	2.706288	1.561709936648223	1.2256844327262275	0.7216739043891305	1.917569748674199	7.895784	29.5957098406406	6.22043997301346	22.8998546191091	30.6684354986791	1- CPG & MPG
17	69.76368	0.4698065	16.38619	2.679525	1.3907518	1.1594784	0.035261417	5.536043	2.390517	1.6506310553050678	1.3155398836754775	0.6979741148444932	2.3158350264817193	7.92656	30.5025612477744	5.66663374894119	20.2278884451724	32.7164290450198	1- CPG & MPG
18	71.21874	0.5667648	15.32181	2.837142	1.4320393	1.0931906	0.044373049	4.773128	2.510103	1.6478821954104763	1.287375343751891	0.7218579923744877	1.9015665891001285	7.283231	34.2318023865122	5.78031701136194	21.2397918399629	28.2078198335521	1- CPG & MPG
19	71.60774	0.5224897	15.149	2.642049	1.3595394	1.1174881	0.04905005	4.725866	2.630575	1.6039344143343617	1.2712316278105373	0.7027591242549515	1.7965144502627752	7.356441	34.2017710896115	5.46312223269573	22.2591923197615	27.9285149456519	1- CPG & MPG
20	71.72355	0.447909	14.99544	2.512178	1.3373887	0.9021564	0.036973622	5.221732	2.632522	1.5017924831503533	1.2076886649172893	0.7357738597601922	1.9835473359766795	7.854254	32.7599091827726	5.39275536230462	22.2756672909928	30.8589410288376	1- CPG & MPG
21	71.94376	0.4661079	15.0288	2.796372	1.5222661	1.0423868	0.021186723	4.289252	2.690714	1.656783323098098	1.2694499767973988	0.7284573336569101	1.5940943556245668	6.979966	35.6306582148784	6.25113889595616	22.7680717727017	25.3482512173784	1- CPG & MPG
